year,postcode,suburb,emission_source,total_electricity,total_gas,intensity_per_annum_kwh_per_customer,intensity_per_annum_gj_per_customer,intensity_per_day_kwh_per_customer,intensity_per_day_gj_per_customer,scope_1,scope_2,scope_3,total_emissions,avg_emissions_per_customer,avg_emissions_per_customer_per_day,total_cost,avg_cost_intensity_per_day,avg_cost_intensity_per_month,avg_cost_intensity_per_annum,no_of_individuals_income_tax,avg_salary,median_salary,avg_net_rent
2022,3156,Lysterfield South,Gas,,13345,,58,,159,687716,,53383,741100,3236,8,417302.1106,4.992547833,151.8566633,1822.279959,23589,58611,51229,-3372
2021,3156,Lysterfield South,Gas,,13345,,58,,159,687716,,53383,741100,3236,8,417302.1106,4.992547833,151.8566633,1822.279959,23589,58611,51229,-3372
2021,3156,Lysterfield South,Electricity,2454849,,9478,,25,,,2356655,245484,2602140,10046,27,786235.7402,8.316874598,252.9716024,3035.659228,23589,58611,51229,-3372
2022,3156,Lysterfield South,Electricity,2454849,,9441,,26,,,2086621,171839,2258461,8686,23,786672.5046,8.289488984,252.1386233,3025.663479,23589,58611,51229,-3372
2020,3156,Lysterfield South,Gas,,13345,,58,,159,687716,,53383,741100,3236,8,403526.6463,4.827739981,146.8437578,1762.125093,23589,58611,51229,-3372
2020,3156,Lysterfield South,Electricity,2421938,,9244,,25,,,2373499,266413,2639912,10076,27,673828.3944,7.046203016,214.3220084,2571.864101,23589,58611,51229,-3372
2022,3177,Doveton and Eumemmerring,Electricity,17209131,,3727,,10,,,14627761,1204639,15832401,3429,9,6735841.124,3.997045537,121.5768017,1458.921621,5412,44222,43504,-2980
2020,3177,Doveton and Eumemmerring,Gas,,194565,,41,,114,10025954,,778261,10804216,2328,6,6374056.114,3.763613671,114.4765825,1373.71899,5412,44222,43504,-2980
2021,3177,Doveton and Eumemmerring,Electricity,16221872,,3586,,9,,,15572997,1622187,17195184,3801,10,6424083.357,3.891273132,118.3595578,1420.314693,5412,44222,43504,-2980
2022,3177,Doveton and Eumemmerring,Gas,,194565,,41,,114,10025954,,778261,10804216,2328,6,6517402.566,3.848253759,117.0510518,1404.612622,5412,44222,43504,-2980
2020,3177,Doveton and Eumemmerring,Electricity,16768410,,3691,,10,,,16433041,1844525,18277566,4024,11,5376925.604,3.243292107,98.65013492,1183.801619,5412,44222,43504,-2980
2021,3177,Doveton and Eumemmerring,Gas,,194565,,41,,114,10025954,,778261,10804216,2328,6,6517402.566,3.848253759,117.0510518,1404.612622,5412,44222,43504,-2980
2020,3802,Endeavour Hills,Gas,,520361,,61,,167,26814212,,2081444,28895656,3389,9,15581579.53,5.006950387,152.2947409,1827.536891,14030,52943,48660,-2125
2022,3802,Endeavour Hills,Gas,,520361,,61,,167,26814212,,2081444,28895656,3389,9,16136475.27,5.18525936,157.7183055,1892.619666,14030,52943,48660,-2125
2022,3802,Endeavour Hills,Electricity,37275932,,4338,,11,,,31684542,2609315,34293857,3991,10,13974607.24,4.456118078,135.5402582,1626.483098,14030,52943,48660,-2125
2021,3802,Endeavour Hills,Electricity,36598752,,4292,,11,,,35134802,3659875,38794677,4549,12,13760355.94,4.421463124,134.48617,1613.83404,14030,52943,48660,-2125
2020,3802,Endeavour Hills,Electricity,37133916,,4346,,11,,,36391237,4084730,40475968,4738,12,11511894.22,3.691953554,112.2969206,1347.563047,14030,52943,48660,-2125
2021,3802,Endeavour Hills,Gas,,520361,,61,,167,26814212,,2081444,28895656,3389,9,16136475.27,5.18525936,157.7183055,1892.619666,14030,52943,48660,-2125
2020,3803,Hallam,Gas,,194472,,51,,141,10021190,,777891,10799081,2863,7,6043889.981,2.137053477,65.00204325,780.024519,5801,49486,46701,-3036
2022,3803,Hallam,Electricity,15148750,,3921,,10,,,12876437,1060412,13936850,3607,9,5841654.248,4.142541972,126.0023183,1512.02782,5801,49486,46701,-3036
2021,3803,Hallam,Gas,,192935,,50,,139,9941984,,771743,10713728,2831,7,6190510.251,4.482109423,136.3308283,1635.96994,5801,49486,46701,-3036
2022,3803,Hallam,Gas,,190366,,50,,137,9809602,,761467,10571069,2778,7,6131869.563,4.415149182,134.294121,1611.529451,5801,49486,46701,-3036
2020,3803,Hallam,Electricity,15799475,,3972,,10,,,15483485,1737942,17221427,4329,11,4987374.297,1.763481072,53.63921593,643.6705912,5801,49486,46701,-3036
2021,3803,Hallam,Electricity,15646970,,4005,,10,,,15021091,1564697,16585788,4245,11,5997171.873,4.205697286,127.9232925,1535.079509,5801,49486,46701,-3036
2022,3804,Narre Warren North,Electricity,18611076,,8049,,22,,,15819415,1302775,17122190,7405,20,6113034.014,7.243610901,220.3264982,2643.917979,5395,60358,48862,-1275
2020,3804,Narre Warren North,Gas,,166954,,81,,223,8603163,,667817,9270980,4529,12,4739396.134,2.961150956,90.06834159,1080.820099,5395,60358,48862,-1275
2021,3804,Narre Warren North,Gas,,165296,,80,,219,8517733,,661186,9178919,4457,12,4909479.231,6.532602249,198.6999851,2384.399821,5395,60358,48862,-1275
2020,3804,Narre Warren North,Electricity,19159882,,8194,,22,,,18776684,2107587,20884271,8932,24,5399848.465,3.373798263,102.6196972,1231.436366,5395,60358,48862,-1275
2022,3804,Narre Warren North,Gas,,160717,,77,,212,8281782,,642870,8924652,4303,11,4797486.833,6.337415402,192.7630518,2313.156622,5395,60358,48862,-1275
2021,3804,Narre Warren North,Electricity,18647172,,8272,,22,,,17901285,1864717,19766002,8769,24,6097536.962,7.411526494,225.4339309,2705.20717,5395,60358,48862,-1275
2021,3805,Narre Warren and Narre Warren South,Electricity,84245111,,4398,,12,,,80875306,8424511,89299817,4661,12,31468216.92,4.500876686,136.9016659,1642.81999,32354,54002,49262,-4597
2022,3805,Narre Warren and Narre Warren South,Gas,,1062896,,56,,154,54771056,,4251586,59022642,3131,8,33437340.9,4.860933522,147.8533946,1774.240735,32354,54002,49262,-4597
2022,3805,Narre Warren and Narre Warren South,Electricity,80303265,,4196,,11,,,68257775,5621228,73879004,3860,10,30379434.74,4.349319743,132.2918089,1587.501706,32354,54002,49262,-4597
2020,3805,Narre Warren and Narre Warren South,Gas,,1107217,,59,,162,57054899,,4428868,61483768,3289,9,33362404.68,2.405617656,73.17087036,878.0504443,32354,54002,49262,-4597
2020,3805,Narre Warren and Narre Warren South,Electricity,85868899,,4448,,12,,,84151521,9445578,93597099,4848,13,26502500.14,1.910979825,58.12563634,697.5076361,32354,54002,49262,-4597
2021,3805,Narre Warren and Narre Warren South,Gas,,1086444,,57,,158,55984494,,4345778,60330273,3210,8,34020668.43,4.960210248,150.8730617,1810.476741,32354,54002,49262,-4597
