postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Output Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Mar 2023 - Installations Quantity,Mar 2023 - SGU Rated Output In kW,Apr 2023 - Installations Quantity,Apr 2023 - SGU Rated Output In kW,May 2023 - Installations Quantity,May 2023 - SGU Rated Output In kW,Jun 2023 - Installations Quantity,Jun 2023 - SGU Rated Output In kW, Installations Quantity Total ,SGU Rated Output In kW Total
3028,2477,10906.368,13,71.52,11,89.345,16,102.66,16,114.59,13,74.06,15,128.08,15,126.99,15,127.07,20,161.69,13,89.27,15,120.465,20,170.295,11,73.365,22,168.11,14,115.655,15,118.935,19,147.46,4,29.475,2744,12935.403
3029,16394,92367.669,107,836.43,161,1367.385,184,1248.235,153,1441.32,121,1192.655,147,1343.5,176,1572.8,169,1415.21,186,1495.41,147,1626.915,176,1377.18,173,2079.42,115,943.22,155,1222.65,125,1050.84,100,824.15,157,1230.565,89,653.14,19035,115288.694
3030,12274,65152.869,66,446.66,109,775.34,99,665.175,88,611.625,85,583.865,113,802.06,122,924.115,123,998.975,133,957.145,99,898.89,111,918.505,119,1189.325,76,578.36,92,678.42,91,814.56,88,659.44,105,759.675,45,358.16,14038,78773.164
3031,686,3272.668,5,34.63,9,76.5,10,58.515,4,39.245,7,38.06,6,55.21,3,16.02,6,31.92,5,36.8,7,71.315,8,35.955,3,20.345,7,38.3,9,51.38,7,40.915,14,111.32,6,55.6,1,6.64,803,4091.338
3032,1427,6684.456,5,32.87,12,113.54,13,83.04,10,72.675,6,35.13,5,45.695,12,84.025,12,95.235,6,36.465,14,138.305,21,180.29,8,50.79,13,106.36,14,110.4,17,229.52,5,60.1,6,52.27,9,56.625,1615,8267.791
3033,959,4771.692,2,18.66,10,70.58,7,52.69,7,50.28,5,38.725,1,6.6,9,123.405,12,94.36,7,58.93,8,98.2,11,95.38,3,22.725,6,44.835,12,101.57,2,19.95,5,38.19,6,80.835,2,12.21,1074,5799.817
3034,707,3217.047,4,31.49,9,85.28,6,44.275,4,26.17,5,31.31,7,56.79,3,27.98,4,22.95,5,63.835,4,36.635,7,54.27,4,29.355,3,19,9,70.115,6,39.79,4,54.04,6,55.31,0,0,797,3965.642
3036,488,2426.005,1,18.45,4,36.25,7,50.46,3,26.95,1,13.16,8,65.76,2,27.37,6,57.07,5,49.04,3,24.325,5,43.93,6,46.165,1,7.885,3,18.165,1,15.12,5,53.13,2,15,2,18.7,553,3012.935
3037,4704,21961.312,20,139.19,28,231.32,45,325.1,27,200.945,31,237.9,29,198.475,28,258.275,40,313.015,27,214.22,22,186.73,30,214.885,36,299.055,19,130.28,44,352.805,28,230.42,24,179.445,30,246.585,13,128.485,5225,26048.442
3038,2422,11798.983,12,86.91,11,79.15,14,96.435,12,130.14,15,103.73,11,74.77,16,160.68,20,150.36,16,110.865,20,147.295,14,109.245,22,163.815,10,65.765,20,133.865,24,187.77,14,98.5,13,132.085,5,44.145,2691,13874.508
3039,676,3126.273,1,5.6,5,31.26,9,59.79,1,9.36,5,22.44,7,60.65,7,60.545,5,36.825,4,22.18,10,217.475,8,61.525,9,145.6,6,45.81,6,48.805,3,33.82,4,32.3,5,41.655,1,7.41,772,4069.323
3040,1251,6215.63,12,110.62,13,94.39,10,89.73,7,68.07,11,91.875,14,119.495,14,130.78,10,70.845,12,114.205,13,95.595,15,103.445,10,73.85,10,75.035,20,155.88,15,129.505,13,154.515,14,124.465,8,75.48,1472,8093.41
