postcode, Installations Quantity Total ,SGU Rated Output In kW Total,latitude,longitude
3804,1166,8053.532,-37.9788019,145.3309395
3805,7490,36922.446,-38.0302499,145.3032906
3806,6539,34625.182,-38.0264207,145.3475331
3807,979,5544.548,-38.0347309,145.3862638
3808,454,3027.568,-37.999986,145.4360858
3809,2666,17293.938,-38.0673549,145.4139392
3810,6656,38178.496,-38.0578366,145.4693163
3812,337,2726.477,-38.0817495,145.5690835
3813,142,1256.216,-38.0477423,145.6356577
3814,347,2280.149,-38.0999051,145.6800684
3815,478,2875.7,-38.0771825,145.7245012
3816,469,3046.371,-38.086187,145.7800733
3818,2634,14045.938,-38.1155251,145.8690603
3820,2607,14903.301,-38.1692482,145.9469958
3821,537,3558.008,-38.0844084,146.002705
3822,154,901.468,-38.1797383,146.0361469
3823,423,2483.962,-38.2245094,146.0584482
3824,752,4251.541,-38.2177192,146.1812023
3825,3028,15645.213,-38.0474021,146.2929381
3831,402,2197.035,-38.0093215,146.002705
3832,54,341.18,-37.9211096,145.9915605
3833,72,451.546,-37.7865626,146.0696009
