Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Sector
RITCHIES STORES PROPRIETARY LIMITED,61 005 041 814,"28,182","68,708","290,318",Other
SS SILVER PTY LTD,40 644 174 710,"28,096","127,876","1,021,319",Other
MARS WRIGLEY AUSTRALIA HOLDINGS PTY LTD,68 133 509 930,"28,070","67,032","811,438",Other
GLADSTONE PORTS CORPORATION LIMITED,96 263 788 242,"27,953","56,169","651,806",Other
NORTHERN SEQ DISTRIBUTOR - RETAILER AUTHORITY,89 791 717 472,"27,772","59,888","366,114",Other
DP WORLD AUSTRALIA (HOLDING) PTY LTD,58 147 892 715,"27,621","42,575","580,034",Other
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LIMITED,20 105 099 849,"27,522","27,997","609,742",Other
SNACKING INVESTMENTS HOLDCO PTY LIMITED,64 634 908 482,"26,505","52,648","760,134",Other
FMR INVESTMENTS PTY LIMITED,009 411 349,"25,919","26,592","520,274",Other
ALDI FOODS PTY LIMITED,18 086 210 139,"25,186","208,432","1,361,933",Other
NEW CENTURY RESOURCES LIMITED,53 142 165 080,"24,864","185,654","1,184,805",Other
BOC LIMITED,95 000 029 729,"24,389","330,965","2,484,737",Other
ESSENTIAL ENERGY,37 428 185 226,"23,868","531,665","2,653,104",Other
COCA-COLA EUROPACIFIC PARTNERS API PTY LTD,26 004 139 397,"22,811","84,684","807,714",Other
AUSGRID MANAGEMENT PTY LTD,83 615 449 548,"22,263","725,921","3,429,254",Other
CSL LIMITED,99 051 588 348,"21,609","83,698","709,900",Other
KIRKLAND LAKE GOLD VICTORIA HOLDINGS PTY LTD,21 128 442 375,"21,505","137,050","841,611",Other
VICTORIA POWER NETWORKS PTY LTD,37 116 940 820,"20,586","967,424","3,872,192",Other
HCF HOLDCO PTY LIMITED,53 653 844 181,"20,585","30,658","404,114",Other
LITTLE COMPANY OF MARY HEALTH CARE LIMITED,11 079 815 697,"20,460","45,056","657,373",Other
ANZ HOSPITALS TOPCO PTY LTD,20 631 014 965,"20,097","88,407","804,988",Other
MONASH HEALTH,82 142 080 338,"19,156","60,580","601,045",Other
WILMAR GF HOLDINGS AUSTRALIA PTY LTD,55 600 457 430,"18,893","34,340","508,361",Other
CKI UTILITIES DEVELOPMENT LIMITED & OTHERS,13 332 330 749,"18,791","261,449","2,902,226",Other
MONASH UNIVERSITY,12 377 614 012,"18,507","94,976","727,922",Other
EPSILON DISTRIBUTION MINISTERIAL HOLDING CORPORATION,59 253 130 878,"18,202","585,700","2,803,087",Other
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82 078 849 233,"18,202","993,929","4,501,370",Other
CASELLA WINES PTY. LIMITED,96 060 745 315,"17,704","33,684","366,076",Other
LENDLEASE CORPORATION LIMITED,32 000 226 228,"17,561","100,830","740,583",Other
IWATANI AUSTRALIA PTY LTD,85 008 902 841,"16,990","35,789","439,974",Other
PACT GROUP HOLDINGS LTD,55 145 989 644,"15,860","188,749","1,162,070",Other
RAMSAY HEALTH CARE LIMITED,57 001 288 768,"15,536","150,130","980,899",Other
CO-OPERATIVE BULK HANDLING LIMITED,29 256 604 947,"15,355","50,808","516,192",Other
UNIVERSITY OF MELBOURNE,84 002 705 224,"15,188","103,462","696,940",Other
NSW ELECTRICITY NETWORKS OPERATIONS PTY LIMITED,609 169 959,"14,874","1,655,744","7,601,952",Other
OLAM ORCHARDS AUSTRALIA PTY LTD,15 139 442 532,"14,760","85,116","546,584",Other
PERILYA LIMITED,85 009 193 695,"14,198","131,641","825,898",Other
TRILITY GROUP PTY LTD,39 144 522 565,"13,665","59,475","531,975",Other
COMPETITIVE FOODS AUSTRALIA PTY LTD,48 010 542 908,"13,557","114,618","803,062",Other
METCASH LIMITED,32 112 073 480,"13,225","60,434","412,530",Other
MATER MISERICORDIAE LTD,83 096 708 922,"13,100","54,403","418,017",Other
ST JOHN OF GOD HEALTH CARE INC,21 930 207 958,"13,031","59,784","527,981",Other
AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,"12,923","78,697","583,517",Other
"COSTCO WHOLESALE AUSTRALIA, PTY. LTD.",57 104 012 893,"12,762","43,651","259,917",Other
ALKANE RESOURCES LTD,35 000 689 216,"12,415","43,408","375,626",Other
QIC LIMITED,95 942 373 762,"12,402","75,867","498,277",Other
AUSTIN HEALTH,96 237 388 063,"12,278","44,345","402,432",Other
NORTH METROPOLITAN HEALTH SERVICE,61 282 636 952,"12,277","69,578","605,607",Other
ST VINCENT'S HEALTH AUSTRALIA LTD,75 073 503 536,"11,937","92,343","632,762",Other
AMP LIMITED,49 079 354 519,"11,897","69,650","422,095",Other
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41 687 119 230,"11,892","78,985","609,984",Other
CHARTER HALL LIMITED,57 113 531 150,"11,686","87,061","497,123",Other
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89 069 775 266,"11,556","40,506","410,909",Other
CHEMCO PTY LTD,68 008 725 817,"11,524","122,151","889,852",Other
DEXUS HOLDINGS PTY LIMITED,48 110 366 946,"11,481","95,578","583,945",Other
CMOC MINING PTY LIMITED,17 164 997 317,"11,032","203,618","1,090,592",Other
TUROSI PTY LTD,92 620 198 165,"10,524","42,204","343,564",Other
WA COUNTRY HEALTH SERVICE,28 680 145 816,"10,415","56,994","477,304",Other
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25 548 385 225,"9,537","73,318","481,355",Other
RICEGROWERS LIMITED,55 007 481 156,"9,316","61,365","442,992",Other
VILO ENTERPRISES PTY LTD,070 890 229,"9,138","48,545","333,182",Other
SYDNEY TRAINS,38 284 779 682,"9,091","492,072","2,357,960",Other
THE STAR ENTERTAINMENT GROUP LIMITED,85 149 629 023,"8,994","88,126","571,751",Other
EVT LIMITED,51 000 005 103,"8,860","98,547","626,579",Other
EPWORTH FOUNDATION,97 420 694 950,"8,835","42,299","329,843",Other
SONIC HEALTHCARE LIMITED,24 004 196 909,"8,707","57,055","397,869",Other
SUN METALS HOLDINGS LIMITED,30 051 538 580,"8,529","508,717","2,881,123",Other
TASMANIAN NETWORKS PTY LTD,24 167 357 299,"8,507","90,045","2,087,251",Other
IX INFRASTRUCTURE PTY LTD,78 629 750 401,"8,330","138,759","1,008,672",Other
ISPT PTY LTD,28 064 041 283,"8,028","42,884","288,370",Other
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED,95 003 621 216,"7,805","48,288","388,490",Other
BP AUSTRALIA INVESTMENTS PTY LTD,66 102 991 551,"7,709","84,524","627,393",Other
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61 850 109 576,"7,659","131,731","807,809",Other
SCENTRE GROUP LIMITED,66 001 671 496,"7,648","203,274","1,105,840",Other
GPT MANAGEMENT HOLDINGS LIMITED,67 113 510 188,"7,239","72,279","427,814",Other
UNIVERSITY OF NEW SOUTH WALES,57 195 873 179,"7,173","66,683","446,165",Other
MIRVAC LIMITED,92 003 280 699,"7,034","67,015","419,495",Other
AIR LIQUIDE AUSTRALIA LIMITED,57 004 385 782,"6,584","212,136","1,444,058",Other
METRO TRAINS MELBOURNE PTY. LTD.,43 136 429 948,"6,461","433,171","1,724,424",Other
PFG TOPCO1 PTY LIMITED,35 604 317 875,"6,050","65,662","391,137",Other
THE UNIVERSITY OF SYDNEY,15 211 513 464,"6,046","82,179","493,064",Other
SYDNEY AVIATION ALLIANCE HOLDINGS PTY LTD,54 654 912 197,"6,046","70,817","434,537",Other
HARVEY NORMAN HOLDINGS LTD,54 003 237 545,"5,849","93,999","528,978",Other
WESTPAC BANKING CORPORATION,33 007 457 141,"5,823","72,159","408,664",Other
JAMES JONES & SONS AUSTRALIA PTY LTD,47 655 780 939,"5,036","45,551","2,009,823",Other
COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,"4,523","72,601","405,601",Other
VICINITY LIMITED,90 114 757 783,"4,332","119,889","643,856",Other
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32 105 197 028,"4,004","60,735","349,189",Other
NBN CO LIMITED,86 136 533 741,"3,963","315,182","1,507,698",Other
NATIONAL AUSTRALIA BANK LIMITED,12 004 044 937,"3,906","67,129","334,194",Other
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,"3,774","187,110","887,618",Other
SOUTH METROPOLITAN HEALTH SERVICE,92 264 056 442,"3,703","46,950","317,619",Other
FITNESS AND LIFESTYLE GROUP TOPCO PTY LTD,50 614 113 192,"3,702","48,214","298,084",Other
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11 005 357 522,"3,624","76,135","365,645",Other
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47 956 969 590,"3,596","54,633","246,455",Other
MYER HOLDINGS LIMITED,14 119 085 602,"3,543","97,647","474,632",Other
TPG TELECOM LIMITED,76 096 304 620,"3,068","254,001","1,241,472",Other
ELECTRANET PTY LIMITED,41 094 482 416,"2,734","133,945","1,420,331",Other
SUNWATER LIMITED,17 020 276 523,"2,395","123,669","589,498",Other
QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,"2,171","95,958","461,973",Other
CENTURIA CAPITAL LIMITED,22 095 454 336,"1,994","58,253","334,054",Other
DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12 010 268 167,"1,857","72,429","354,280",Other
THE UNIVERSITY OF QUEENSLAND,63 942 912 684,"1,834","110,434","548,644",Other
A.C.N. 085 239 998 PTY LTD,39 085 239 998,"1,785","169,910","823,110",Other
FUJITSU AUSTRALIA LTD,19 001 011 427,"1,701","89,327","410,739",Other
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27 136 262 952,"1,533","69,042","359,561",Other
OSIRIS HOLDINGS PTY LTD,29 168 919 391,"1,369","49,485","239,109",Other
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69 096 686 190,"1,291","415,217","1,921,327",Other
NEXTDC LIMITED,35 143 582 521,"1,289","350,049","1,536,358",Other
ALIAXIS HOLDINGS AUSTRALIA PTY LIMITED,33 169 799 080,"1,076","58,284","283,812",Other
AIRTRUNK AUSTRALIA HOLDING PTY LTD,50 616 379 232,918,"257,423","1,106,671",Other
F & F MANAGEMENT PTY. LTD.,36 133 040 721,900,"53,774","263,485",Other
AMERICOLD LOGISTICS LIMITED,58 004 902 998,893,"51,565","241,054",Other
EQUINIX AUSTRALIA PTY LIMITED,25 092 807 264,826,"309,100","1,359,210",Other
SUPER RETAIL GROUP LIMITED,81 108 676 204,782,"58,674","283,675",Other
AMAZON CORPORATE SERVICES PTY LTD,95 082 931 600,626,"260,583","1,188,419",Other
R.G. WITHERS NOMINEES PTY. LTD.,005 620 860,584,"120,168","524,510",Other
JB HI-FI LIMITED,80 093 220 136,461,"62,395","293,664",Other
PORT WARATAH COAL SERVICES LTD,99 001 363 828,395,"111,879","515,690",Other
NCIG HOLDINGS PTY LTD,98 124 700 483,366,"59,766","278,436",Other
METRO TRAINS SYDNEY PTY LTD,54 600 820 737,241,"64,855","299,248",Other
MCDONALD'S AUSTRALIA LIMITED,43 008 496 928,234,"71,092","328,814",Other
GLOBAL SWITCH AUSTRALIA PTY LIMITED,65 094 338 333,211,"119,619","548,110",Other
CDC GROUP HOLDINGS PTY LTD,67 612 332 073,171,"187,397","856,414",Other
DIGITAL AUSTRALIA INVESTMENT MANAGEMENT PTY LIMITED,27 150 294 134,113,"67,396","286,732",Other
VIVA ENERGY POLYMERS HOLDINGS PTY LTD,74 066 270 237,2,"53,565","58,495",Other
