Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Sector
NEWGEN KWINANA HOLDINGS PTY LTD,68 116 576 955,"760,427",643,"8,264,618",Other
AMPOL LIMITED,40 004 201 307,"727,358","248,594","11,502,904",Other
MACH AUSTRALIA HOLDINGS PTY LTD,66 608 494 828,"716,841","34,289","1,658,253",Other
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,43 104 958 581,"711,074","998,825","27,277,899",Other
QCOAL PTY LTD,99 010 911 234,"675,091","79,563","5,225,673",Other
COMGEN AUSTRALIA PTY. LTD.,17 050 242 441,"643,722","17,954","1,802,943",Other
HANCOCK PROSPECTING PTY LIMITED,69 008 676 417,"636,620","246,308","10,904,171",Other
NORTHERN STAR RESOURCES LTD,43 092 832 892,"635,249","322,985","12,210,544",Other
STANMORE RESOURCES LIMITED,27 131 920 968,"582,483","114,865","34,257,242",Other
NEWCREST MINING LIMITED,20 005 683 625,"569,190","830,125","13,835,018",Other
TRONOX MANAGEMENT PTY LTD,59 009 343 364,"560,694","96,572","10,304,988",Other
ARROW ENERGY HOLDINGS PTY LTD,94 141 385 293,"540,076","32,286","7,854,871",Other
IDEMITSU AUSTRALIA PTY LTD,45 010 236 272,"508,250","84,373","3,945,828",Other
AURIZON HOLDINGS LIMITED,14 146 335 622,"506,747","328,042","8,686,786",Other
BHP ENERGY COAL AUSTRALIA PTY LTD,79 057 364 315,"503,405","79,627","7,067,196",Other
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424,"485,306",129,"8,405,472",Other
NYRSTAR AUSTRALIA PTY LTD,46 124 535 468,"451,927","227,864","10,426,137",Other
PAPER AUSTRALIA PTY LTD,63 061 583 533,"440,101","472,304","19,393,594",Other
BEACH ENERGY LIMITED,20 007 617 969,"435,738","19,471","4,555,104",Other
GOLD FIELDS AUSTRALIA PTY LIMITED,91 098 385 285,"434,857","107,224","8,579,330",Other
QUBE HOLDINGS LIMITED,14 149 723 053,"397,545","23,260","5,801,536",Other
WOOLWORTHS GROUP LIMITED,88 000 014 675,"392,140","1,488,313","8,258,645",Other
NEWMONT AUSTRALIA PTY LTD,95 099 040 507,"387,661","671,678","9,827,769",Other
ILUKA RESOURCES LIMITED,34 008 675 018,"387,533","89,854","6,543,332",Other
SNOWY HYDRO LIMITED,17 090 574 431,"384,942","484,411","7,177,194",Other
CAJOSA PTY LTD,73 002 724 021,"377,909","303,903","6,929,422",Other
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED,48 090 994 657,"350,770","63,626","3,717,368",Other
LIBERTY BELL BAY PTY LTD,23 004 456 035,"350,535","124,642","6,107,991",Other
MINERAL RESOURCES LIMITED,33 118 549 910,"337,486","3,027","5,025,728",Other
AUSTRALIAN GAS NETWORKS LIMITED,19 078 551 685,"328,080",601,"1,948,092",Other
ATCO AUSTRALIA PTY LTD,74 091 033 546,"326,553","2,923","3,977,447",Other
BAYBRICK PTY. LTD.,97 067 220 017,"322,446","265,126","4,339,366",Other
REMONDIS AUSTRALIA PTY LTD,95 002 429 781,"305,815","3,639","477,143",Other
MELBOURNE WATER CORPORATION,81 945 386 953,"292,586","229,345","2,080,265",Other
JADESTONE ENERGY HOLDINGS LTD,"Suite 1, 3rd Floor 11 - 12 St James's Square, London, SW1Y 4, UNITED KINGDOM","292,181",39,"4,173,183",Other
CSR LIMITED,90 000 001 276,"275,488","178,597","5,599,079",Other
A.C.N. 630 698 716 PTY LTD,18 630 698 716,"268,946","28,826","1,701,831",Other
LIBERTY HOLDINGS AUSTRALIA LTD,16 627 011 938,"267,830","825,019","7,655,959",Other
REGIS RESOURCES LIMITED,28 009 174 761,"256,742",50,"3,683,301",Other
COLES GROUP LIMITED,11 004 089 936,"255,474","1,259,759","6,750,870",Other
QMAG PTY LIMITED,68 111 279 906,"246,314","82,766","1,853,979",Other
JELLINBAH GROUP PTY LTD,54 010 754 793,"241,538","11,600","1,699,730",Other
TOLL HOLDINGS PTY LIMITED,25 006 592 089,"235,380","27,838","3,460,144",Other
AUSTRALIAN ENERGY HOLDINGS NO 1 PTY LTD,18 654 672 670,"231,682","1,499,364","8,653,311",Other
GRANGE RESOURCES LIMITED,80 009 132 405,"227,867","39,360","4,597,731",Other
ALLIANCE AVIATION SERVICES LIMITED,96 153 361 525,"227,014","1,219","3,239,969",Other
AUSTRALIAN PARCELS GROUP PTY LTD,21 649 001 409,"225,331","20,176","3,324,333",Other
DBNGP (WA) TRANSMISSION PTY LIMITED,69 081 609 190,"224,323","1,519","3,655,579",Other
QMETCO LIMITED,98 008 124 025,"218,686","12,551","2,105,331",Other
ORORA LIMITED,55 004 275 165,"216,564","84,404","3,862,614",Other
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD,46 122 401 405,"209,604","68,507","3,339,608",Other
BRICKWORKS LTD,17 000 028 526,"206,140","72,285","4,446,789",Other
FQM AUSTRALIA HOLDINGS PTY LTD,77 136 613 075,"204,177",22,"3,437,531",Other
KELSIAN GROUP LIMITED,49 109 078 257,"203,813","9,301","3,014,112",Other
DOWNER EDI LIMITED,97 003 872 848,"198,461","45,743","3,278,014",Other
EVOLUTION MINING LIMITED,74 084 669 036,"198,079","475,807","5,560,434",Other
LINFOX PROPRIETARY LIMITED,59 004 667 298,"194,742","30,553","2,921,693",Other
SOJITZ DEVELOPMENT PTY LTD,34 063 050 680,"192,856","36,873","1,745,987",Other
ADANI MINING PTY LTD,27 145 455 205,"190,781",172,"1,853,922",Other
BATCHFIRE RESOURCES PTY LTD,84 607 340 189,"188,124","31,244","2,842,849",Other
RATCH - AUSTRALIA CORPORATION PTY LTD,31 106 617 332,"180,917","7,988","2,618,901",Other
COBHAM AVIATION SERVICES AUSTRALIA PTY LTD,34 003 469 574,"178,637","1,197","2,561,079",Other
WASTE ASSETS MANAGEMENT CORPORATION,56 784 733 957,"178,410","1,121","8,362",Other
AURIZON BULK CENTRAL HOLDINGS PTY LTD,53 132 989 998,"175,833","1,592","2,520,636",Other
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,50 003 902 985,"171,463","115,250","4,523,198",Other
QUEENSLAND NITRATES PTY LTD,63 079 889 268,"170,118","49,393","3,325,681",Other
REGIONAL EXPRESS HOLDINGS LIMITED,18 099 547 270,"168,745","1,413","2,411,415",Other
BGC (AUSTRALIA) PTY LTD,62 005 736 005,"166,372","75,199","3,426,435",Other
WOLLONGONG COAL LIMITED,28 111 244 896,"166,345","13,477","83,308",Other
SCOTT'S REFRIGERATED LOGISTICS HOLDINGS PTY LTD,14 639 265 642,"165,667","32,671","2,510,248",Other
WESTGOLD RESOURCES LIMITED,60 009 260 306,"159,873","20,586","2,431,286",Other
ENERGY QUEENSLAND LIMITED,96 612 535 583,"155,343","1,655,338","8,883,963",Other
WILMAR AUSTRALIA HOLDINGS PTY LIMITED,79 144 972 743,"155,133","46,309","42,941,215",Other
WILPINJONG COAL PTY LTD,87 104 594 694,"154,554","27,221","2,113,099",Other
A.C.N. 166 119 133 PTY LTD,31 166 119 133,"151,987","178,905","3,367,624",Other
TT-LINE COMPANY PTY. LTD.,39 061 996 174,"144,231",526,"2,053,908",Other
LEONE FAMILY HOLDINGS PTY LTD,69 618 356 586,"138,879","3,120","1,993,108",Other
